id,name
0,Almond Milk
1,Apple
2,Apricot
3,Arugula
4,Ashitaba
5,Asparagus
6,Avocado
7,Bananas
8,Basil
9,Beefsteak Plant
10,Black Currants
11,Black Tea Leaves
12,Blood Orange
13,Blueberries
14,Cabbage
15,Caramel
16,Carbonated Water
17,Carrot
18,Celery
19,Chard
20,Cherries
21,Chia Seeds
22,Cinnamon
23,Cocoa
24,Coffee Beans
25,Corn
26,Cranberries
27,Cream Cheese
28,Cress
29,Dragon Fruit
30,Fennel
31,Fig
32,Gelatin
33,Ginger
34,Grapefruit
35,Grapes
36,Green Tea Leaves
37,Guava
38,Hojicha Leaves
39,Honey
40,Kale
41,Kefir Grains
42,Kiwi
43,Lavender
44,Lemon
45,Lemongrass
46,Lettuce
47,Lime
48,Mandarin Orange
49,Mango
50,Matcha Powder
51,Melon
52,Milk
53,Mint
54,Onion
55,Orange
56,Papaya
57,Parsley
58,Peach
59,Pear
60,Persimmon
61,Pineapple
62,Pink Grapefruit
63,Plum
64,Pomegranate
65,Prunes
66,Pumpkin
67,Radicchio
68,Raisins
69,Raspberries
70,Soy Milk
71,Spinach
72,Strawberries
73,Sugar
74,Tatsoi
75,Tomato
76,Vanilla Ice Cream
77,Vine Spinach
78,Vinegar
79,Watermelon
80,Wheatgrass
81,White Sesame Seeds
82,Yogurt
