id,world,stage,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5
0,1,1-1,,,,,
1,1,1-2,,,,,
2,2,2-1,,,,,
3,2,2-2,,,,,
4,2,2-3,,,,,
5,3,3-1,,,,,
6,3,3-2,,,,,
7,3,3-3,,,,,
8,3,3-4,,,,,
9,4,4-1,Spinach,Strawberries,Milk,White Sesame Seeds,Gelatin
10,4,4-2,Grapes,Green Tea Leaves,Bananas,Spinach,Strawberries
11,4,4-3,Spinach,Strawberries,Milk,White Sesame Seeds,Gelatin
12,4,4-4,Grapes,Green Tea Leaves,Bananas,Spinach,Strawberries
13,4,4-5,Spinach,Strawberries,Milk,White Sesame Seeds,Gelatin
14,4,4-6,Grapes,Green Tea Leaves,Bananas,Spinach,Strawberries
15,5,5-1,Spinach,Tomato,Pomegranate,Apple,Onion
16,5,5-2,Milk,Carrot,Spinach,Bananas,Green Tea Leaves
17,5,5-3,Lemon,Tomato,Pomegranate,Apple,White Sesame Seeds
18,5,5-4,Spinach,Carrot,Strawberries,Grapes,Gelatin
19,5,5-5,Lemon,Tomato,Pomegranate,Apple,Onion
20,5,5-6,Spinach,Carrot,Strawberries,White Sesame Seeds,Milk
21,5,5-7,Spinach,Tomato,Pomegranate,Apple,Onion
22,5,5-8,Carbonated Water,Spinach,Strawberries,Bananas,Green Tea Leaves
23,7,7-1,Milk,Grapes,Carrot,Spinach,Onion
24,7,7-2,Pumpkin,Soy Milk,Yogurt,Blueberries,Prunes
25,7,7-3,Raisins,Peach,Soy Milk,Grapes,Spinach
26,8,8-1,Bananas,Carbonated Water,Apple,Yogurt,Cress
27,8,8-2,Vinegar,Honey,Apricot,Milk,Grapes
28,8,8-3,Soy Milk,Yogurt,Lemon,Blueberries,Cress
29,8,8-4,Vinegar,Honey,Apricot,Carrot,Cress
30,8,8-5,Bananas,Carbonated Water,Apple,Lemon,Cress
31,8,8-6,Vinegar,Honey,Apricot,Onion,Pumpkin
32,9,9-1,Bananas,Cress,Peach,Yogurt,Honey
33,9,9-2,Mango,Papaya,Chia Seeds,Orange,Carbonated Water
34,9,9-3,Bananas,Cress,Peach,Yogurt,Papaya
35,9,9-4,Mango,Papaya,Chia Seeds,Orange,Bananas
36,9,9-5,Bananas,Cress,Peach,Lemon,Honey
37,9,9-6,Mango,Papaya,Chia Seeds,Orange,Bananas
38,10,10-1,Milk,Green Tea Leaves,Carbonated Water,Onion,Cress
39,10,10-2,Lemon,Matcha Powder,Vanilla Ice Cream,Melon,Beefsteak Plant
