world,number,name,level,course
1,1-1,Beginnia,1,0
1,1-2,Transient Temple,3,1
2,2-1,Nightcloak Pass,6,2
2,2-2,Dashalong Tower,7,3
2,2-3,Disturbance Meadow,8,4
3,3-1,Treasure Pass,11,5
3,3-2,General Factory,12,6
3,3-3,Bridge of Insight,13,4
3,3-4,Hopskip Corridor,15,1
4,4-1,Sportan Waters,23,7
4,4-2,Sportan Swamp,17,2
4,4-3,Sporta Bridge,18,8
4,4-4,Dojo Sporta,19,3
4,4-5,Sportan Highway,20,9
4,4-6,Out-of-the-Way Way,21,0
5,5-1,Exertion River,27,10
5,5-2,Loot Pass,28,11
5,5-3,Armie Temple,28,1
5,5-4,Stopfoot Wastes,30,7
5,5-5,Birdseye Mountain Trail,31,5
5,5-6,Exertion Corridor,32,6
5,5-7,Leap-of-Faith Falls,33,12
5,5-8,Twilight Highway,28,4
7,7-1,Swing Gate,45,13
7,7-2,Starting-Block Bridge,47,14
7,7-3,Trotter's Grove,48,15
8,8-1,Gutterflow Temple,52,16
8,8-2,Drench Trench,53,5
8,8-3,Solar Plexia Archway,59,7
8,8-4,Dangling Overpass,57,17
8,8-5,Springload Shrine,56,12
8,8-6,Talisman Trail,54,2
9,9-1,No-Brakes Mine,61,18
9,9-2,Flyover Wilds,61,15
9,9-3,Beltline Tower,64,3
9,9-4,Pushpull Shrine,66,19
9,9-5,Otherside Street,61,11
9,9-6,Otherside Waterway,65,8
10,10-1,Floating Waterway,70,13
10,10-2,Fusion Waterway,71,16
11,11-1,Rumbling Road,75,20
11,11-2,Sunset Road,76,11
11,11-3,Athlete's Road,77,21
11,11-4,Soak Road,80,4
11,11-5,Hasty Highway,81,14
11,11-6,River Road,83,10
11,11-7,Twilight Road,84,6
12,12-1,Clever-Trick Temple,87,19
12,12-2,Monster Den,88,22
12,12-3,Upsurge Studio,90,23
12,12-4,Mt. Fearmenot,91,24
12,12-5,Tornado Temple,92,25
12,12-6,Fluttering Heights,94,26
14,14-1,Missed Highway,101,15
14,14-2,Invisible Temple,104,25
14,14-3,Misty Corridor,102,12
14,14-4,Turmoil Territory,107,7
14,14-5,Disappearance Path,109,5
14,14-6,Gazelle Channel,108,27
14,14-7,High-Roller Complex,105,20
14,14-8,Steadfast Road,103,9
15,15-1,Aerohead Road,116,28
15,15-2,Sedentary Swamp,116,8
15,15-3,Condensation Corridor,116,1
15,15-4,Hot Spot,117,29
15,15-5,Upper Road,111,21
15,15-6,Lower Road,112,30
15,15-7,North Road,113,31
15,15-8,South Road,114,13
16,16-1,Wingflap Falls,122,32
16,16-2,Flyover Pass,122,26
16,16-3,Scramble Wasteland,123,33
16,16-4,Flutterpeak Pass,125,24
16,16-5,Piston-Pump Rail,126,27
16,16-6,Pushover Corridor,127,19
16,16-7,Perseverance Valley,128,22
17,17-1,Hamstring Marsh,128,2
17,17-2,Sweat Street,132,11
17,17-3,Hangon Bridge,134,31
17,17-4,Inside Strait,135,14
17,17-5,Backways Path,136,27
18,18-1,Shivering Valley,138,30
18,18-2,Rail to the Chief,141,23
18,18-3,Freezing Freeway,140,22
18,18-4,Wintry Watchtower,139,29
18,18-5,Snowflurry Valley,142,26
19,19-1,Ohohwan River,144,10
19,19-2,Wanoh Hills,145,5
19,19-3,Ohwanoh Factory,146,25
19,19-4,Ohoh Valley,148,32
19,19-5,Ohwanwan Route,149,3
19,19-6,Wanohwanoh Way,150,28
19,19-7,Ohohoh Tower,151,17
20,20-1,Howling Hollow,154,24
20,20-2,Swift Spire,157,6
20,20-3,Hang-Tough Temple,155,31
20,20-4,Glowskin Ridge,156,4
20,20-5,Bolthole Tunnel,156,18
20,20-6,Marathon Field,157,33
21,21-1,Jog-On Bog,159,8
21,21-2,Ribcage Peak,160,0
21,21-3,Whirling Halls,161,13
21,21-4,Soaring Valley,162,30
21,21-5,Rear Byway,162,23
21,21-6,Inner Byway,163,12
22,22-1,Exercise Paradise,164,33
22,22-2,Uplift Temple,165,29
22,22-3,Gunsho Temple,166,19
22,22-4,Perspiration Paradise,167,28
22,22-5,Slab Paradise,168,27
22,22-6,Six-Peak Temple,168,25
22,22-7,Calm Cloister,169,9
22,22-8,Judgment Pass,170,26
22,22-9,Yogana,171,11
23,23-1,Last Lookout,175,31
23,23-2,Closing Coaster,176,16
23,23-3,Hindmost Highway,177,24
23,23-4,Irrevocable River,178,10
23,23-5,Ultimate Hollow,179,30
24,1-1,Beginnia,180,0
24,1-2,Transient Temple,180,1
25,2-1,Nightcloak Pass,181,2
25,2-2,Dashalong Tower,181,3
25,2-3,Disturbance Meadow,181,4
26,3-1,Treasure Pass,182,5
26,3-2,General Factory,182,6
26,3-3,Bridge of Insight,183,4
26,3-4,Hopskip Corridor,183,1
27,4-1,Sportan Waters,185,7
27,4-2,Sportan Swamp,185,2
27,4-3,Sporta Bridge,186,8
27,4-4,Dojo Sporta,186,3
27,4-5,Sportan Highway,186,9
27,4-6,Out-of-the-Way Way,186,0
28,5-1,Exertion River,188,10
28,5-2,Loot Pass,189,11
28,5-3,Armie Temple,189,1
28,5-4,Stopfoot Wastes,190,7
28,5-5,Birdseye Mountain Trail,190,5
28,5-6,Exertion Corridor,191,6
28,5-7,Leap-of-Faith Falls,191,12
28,5-8,Twilight Highway,188,4
30,7-1,Swing Gate,195,13
30,7-2,Starting-Block Bridge,196,14
30,7-3,Trotter's Grove,197,15
31,8-1,Gutterflow Temple,199,16
31,8-2,Drench Trench,199,5
31,8-3,Solar Plexia Archway,203,7
31,8-4,Dangling Overpass,201,17
31,8-5,Springload Shrine,200,12
31,8-6,Talisman Trail,200,2
32,9-1,No-Brakes Mine,204,18
32,9-2,Flyover Wilds,204,15
32,9-3,Beltline Tower,205,3
32,9-4,Pushpull Shrine,206,19
32,9-5,Otherside Street,204,11
32,9-6,Otherside Waterway,205,8
33,10-1,Floating Waterway,208,13
33,10-2,Fusion Waterway,208,16
34,11-1,Rumbling Road,211,20
34,11-2,Sunset Road,212,11
34,11-3,Athlete's Road,212,21
34,11-4,Soak Road,214,4
34,11-5,Hasty Highway,214,14
34,11-6,River Road,215,10
34,11-7,Twilight Road,216,6
35,12-1,Clever-Trick Temple,218,19
35,12-2,Monster Den,218,22
35,12-3,Upsurge Studio,218,23
35,12-4,Mt. Fearmenot,218,24
35,12-5,Tornado Temple,220,25
35,12-6,Fluttering Heights,221,26
